,Date,Open,High,Low,Close,Volume
2705,2022/2/26,39213.08203,40005.34766,38702.53516,39105.14844,17467554129.0
2706,2022/2/27,39098.69922,39778.94141,37268.97656,37709.78516,23450127612.0
2707,2022/2/28,37706.0,43760.45703,37518.21484,43193.23438,35690014104.0
2708,2022/3/1,43194.50391,44793.60156,42952.58594,44354.63672,32479047645.0
2709,2022/3/2,44357.61719,45077.57813,43432.85156,43924.11719,29183112630.0
2710,2022/3/3,43925.19531,44021.57813,41914.75,42451.78906,24967782593.0
2711,2022/3/4,42458.14063,42479.61328,38805.84766,39137.60547,28516271427.0
2712,2022/3/5,39148.44922,39566.33594,38777.03516,39400.58594,16975917450.0
2713,2022/3/6,39404.19922,39640.17578,38211.64844,38419.98438,19745229902.0
2714,2022/3/7,38429.30469,39430.22656,37260.20313,38062.03906,28546143503.0
2715,2022/3/8,38059.90234,39304.44141,37957.38672,38737.26953,25776583476.0
2716,2022/3/9,38742.81641,42465.67188,38706.09375,41982.92578,32284121034.0
2717,2022/3/10,41974.07031,42004.72656,38832.94141,39437.46094,31078064711.0
2718,2022/3/11,39439.96875,40081.67969,38347.43359,38794.97266,26364890465.0
2719,2022/3/12,38794.46484,39308.59766,38772.53516,38904.01172,14616450657.0
2720,2022/3/13,38884.72656,39209.35156,37728.14453,37849.66406,17300745310.0
2721,2022/3/14,37846.31641,39742.5,37680.73438,39666.75391,24322159070.0
2722,2022/3/15,39664.25,39794.62891,38310.21094,39338.78516,23934000868.0
2723,2022/3/16,39335.57031,41465.45313,39022.34766,41143.92969,39616916192.0
2724,2022/3/17,41140.84375,41287.53516,40662.87109,40951.37891,22009601093.0
2725,2022/3/18,40944.83984,42195.74609,40302.39844,41801.15625,34421564942.0
2726,2022/3/19,41794.64844,42316.55469,41602.66797,42190.65234,19664853187.0
2727,2022/3/20,42191.40625,42241.16406,41004.75781,41247.82422,20127946682.0
2728,2022/3/21,41246.13281,41454.41016,40668.04297,41077.99609,24615543271.0
2729,2022/3/22,41074.10547,43124.70703,40948.28125,42358.80859,32004652376.0
2730,2022/3/23,42364.37891,42893.50781,41877.50781,42892.95703,25242943069.0
2731,2022/3/24,42886.65234,44131.85547,42726.16406,43960.93359,31042992291.0
2732,2022/3/25,43964.54688,44999.49219,43706.28516,44348.73047,30574413034.0
2733,2022/3/26,44349.85938,44735.99609,44166.27344,44500.82813,16950455995.0
2734,2022/3/27,44505.35547,46827.54688,44437.29297,46820.49219,28160889722.0
2735,2022/3/28,46821.85156,48086.83594,46690.20313,47128.00391,36362175703.0
2736,2022/3/29,47100.4375,48022.28906,47100.4375,47465.73047,31397059069.0
2737,2022/3/30,47456.89844,47655.14844,46746.21094,47062.66406,29333883962.0
2738,2022/3/31,47062.14844,47512.02734,45390.53906,45538.67578,33327427106.0
2739,2022/4/1,45554.16406,46616.24219,44403.14063,46281.64453,38162644287.0
2740,2022/4/2,46285.5,47028.28125,45782.51172,45868.94922,29336594194.0
2741,2022/4/3,45859.12891,47313.47656,45634.10547,46453.56641,25414397610.0
2742,2022/4/4,46445.27344,46791.08984,45235.81641,46622.67578,32499785455.0
2743,2022/4/5,46624.50781,47106.14063,45544.80859,45555.99219,29640604055.0
2744,2022/4/6,45544.35547,45544.35547,43193.95313,43206.73828,39393395788.0
2745,2022/4/7,43207.5,43860.69922,42899.90625,43503.84766,26101973106.0
2746,2022/4/8,43505.13672,43903.01953,42183.28906,42287.66406,27215995394.0
2747,2022/4/9,42282.07813,42786.81641,42183.25391,42782.13672,16050772496.0
2748,2022/4/10,42781.08984,43376.37891,42021.20703,42207.67188,17654475582.0
2749,2022/4/11,42201.03906,42424.58984,39373.05859,39521.90234,33949912166.0
2750,2022/4/12,39533.71484,40617.58594,39388.32813,40127.18359,30991500854.0
2751,2022/4/13,40123.57031,41430.05469,39712.74609,41166.73047,27691105228.0
2752,2022/4/14,41160.21875,41451.48047,39695.74609,39935.51563,24342001973.0
2753,2022/4/15,39939.40234,40617.72266,39866.83203,40553.46484,21756855753.0
2754,2022/4/16,40552.31641,40633.67969,40078.42578,40424.48438,16833150693.0
2755,2022/4/17,40417.77734,40570.72656,39620.89453,39716.95313,19087633042.0
2756,2022/4/18,39721.20313,40986.32031,38696.19141,40826.21484,33705182072.0
2757,2022/4/19,40828.17578,41672.96094,40618.63281,41502.75,25303206547.0
2758,2022/4/20,41501.74609,42126.30078,40961.09766,41374.37891,27819532341.0
2759,2022/4/21,41371.51563,42893.58203,40063.82813,40527.36328,35372786395.0
2760,2022/4/22,40525.86328,40777.75781,39315.41797,39740.32031,28011716745.0
2761,2022/4/23,39738.72266,39935.85938,39352.20313,39486.73047,16138021249.0
2762,2022/4/24,39478.375,39845.92578,39233.53906,39469.29297,17964398167.0
2763,2022/4/25,39472.60547,40491.75391,38338.37891,40458.30859,35445730570.0
2764,2022/4/26,40448.42188,40713.89063,37884.98438,38117.46094,34569088416.0
2765,2022/4/27,38120.30078,39397.91797,37997.3125,39241.12109,30981015184.0
2766,2022/4/28,39241.42969,40269.46484,38941.42188,39773.82813,33903704907.0
2767,2022/4/29,39768.61719,39887.26953,38235.53516,38609.82422,30882994649.0
2768,2022/4/30,38605.85938,38771.21094,37697.94141,37714.875,23895713731.0
2769,2022/5/1,37713.26563,38627.85938,37585.78906,38469.09375,27002760110.0
2770,2022/5/2,38472.1875,39074.97266,38156.5625,38529.32813,32922642426.0
2771,2022/5/3,38528.10938,38629.99609,37585.62109,37750.45313,27326943244.0
2772,2022/5/4,37748.01172,39902.94922,37732.05859,39698.37109,36754404490.0
2773,2022/5/5,39695.74609,39789.28125,35856.51563,36575.14063,43106256317.0
2774,2022/5/6,36573.18359,36624.35938,35482.13281,36040.92188,37795577489.0
2775,2022/5/7,36042.50391,36129.92578,34940.82422,35501.95313,24375896406.0
2776,2022/5/8,35502.94141,35502.94141,33878.96484,34059.26563,36763041910.0
2777,2022/5/9,34060.01563,34222.07422,30296.95313,30296.95313,63355494961.0
2778,2022/5/10,30273.6543,32596.30859,29944.80273,31022.90625,59811038817.0
2779,2022/5/11,31016.18359,32013.40234,28170.41406,28936.35547,70388855818.0
2780,2022/5/12,28936.73438,30032.43945,26350.49023,29047.75195,66989173272.0
2781,2022/5/13,29030.91016,30924.80273,28782.33008,29283.10352,42841124537.0
2782,2022/5/14,29285.64258,30192.80273,28702.91016,30101.26563,28579868620.0
2783,2022/5/15,30098.58594,31308.19141,29527.74023,31305.11328,25835372065.0
2784,2022/5/16,31304.375,31305.3418,29251.88477,29862.91797,32613897286.0
2785,2022/5/17,29862.4082,30694.49023,29570.30273,30425.85742,29101473475.0
2786,2022/5/18,30424.47852,30618.7168,28720.27148,28720.27148,31285268319.0
2787,2022/5/19,28720.35938,30430.75195,28708.95508,30314.33398,33773447707.0
2788,2022/5/20,30311.11914,30664.97656,28793.60547,29200.74023,30749382605.0
2789,2022/5/21,29199.85938,29588.86914,29027.39453,29432.22656,17274840442.0
2790,2022/5/22,29432.47266,30425.86133,29275.18359,30323.72266,21631532270.0
2791,2022/5/23,30309.39648,30590.58594,28975.56055,29098.91016,31483454557.0
2792,2022/5/24,29101.125,29774.35547,28786.58984,29655.58594,26616506245.0
2793,2022/5/25,29653.13477,30157.78516,29384.94922,29562.36133,27525063551.0
2794,2022/5/26,29564.77734,29834.16016,28261.90625,29267.22461,36774325352.0
2795,2022/5/27,29251.14063,29346.94336,28326.61328,28627.57422,36582005748.0
2796,2022/5/28,28622.625,28814.90039,28554.56641,28814.90039,35519577634.0
2797,2022/5/29,29019.86719,29498.00977,28841.10742,29445.95703,18093886409.0
2798,2022/5/30,29443.36523,31949.63086,29303.57227,31726.39063,39277993274.0
2799,2022/5/31,31723.86523,32249.86328,31286.1543,31792.31055,33538210634.0
2800,2022/6/1,31792.55469,31957.28516,29501.58789,29799.08008,41135817341.0
2801,2022/6/2,29794.89063,30604.73438,29652.70508,30467.48828,29083562061.0
2802,2022/6/3,30467.80664,30633.03516,29375.68945,29704.39063,26175547452.0
2803,2022/6/4,29706.13867,29930.56445,29500.00586,29832.91406,16588370958.0
2804,2022/6/5,29835.11719,30117.74414,29574.44922,29906.66211,17264085441.0
2805,2022/6/6,29910.2832,31693.29102,29894.1875,31370.67188,31947336829.0
2806,2022/6/7,31371.74219,31489.68359,29311.68359,31155.47852,40770974039.0
2807,2022/6/8,31151.48047,31253.69141,29944.4043,30214.35547,30242059107.0
2808,2022/6/9,30215.2793,30609.31055,30020.26563,30111.99805,21692004719.0
2809,2022/6/10,30110.33008,30245.80859,28978.14648,29083.80469,29867476527.0
2810,2022/6/11,29084.66602,29401.91602,28236.21289,28360.81055,27246574439.0
2811,2022/6/12,28373.51367,28502.68555,26762.64844,26762.64844,34163220274.0
2812,2022/6/13,26737.57813,26795.58984,22141.25781,22487.38867,68204556440.0
2813,2022/6/14,22487.98633,23018.95117,20950.81836,22206.79297,50913575242.0
2814,2022/6/15,22196.73047,22642.67188,20178.37695,22572.83984,54912007015.0
2815,2022/6/16,22576.30469,22868.92188,20265.22656,20381.65039,31183975654.0
2816,2022/6/17,20385.71875,21243.3125,20326.51953,20471.48242,27132421514.0
2817,2022/6/18,20473.42578,20736.04102,17708.62305,19017.64258,42009436760.0
2818,2022/6/19,19010.90234,20683.82227,18067.15234,20553.27148,35329942625.0
2819,2022/6/20,20553.37109,20913.32227,19689.16992,20599.53711,30818458597.0
2820,2022/6/21,20594.29492,21620.62891,20415.0625,20710.59766,28970212744.0
2821,2022/6/22,20719.41406,20835.75,19848.07813,19987.0293,28574793478.0
2822,2022/6/23,19986.60742,21135.76172,19950.11719,21085.87695,26188097173.0
2823,2022/6/24,21084.64844,21472.91797,20777.51172,21231.65625,24957784918.0
2824,2022/6/25,21233.60938,21520.91406,20964.58594,21502.33789,18372538715.0
2825,2022/6/26,21496.49414,21783.72461,21016.26953,21027.29492,18027170497.0
2826,2022/6/27,21028.23828,21478.08984,20620.19922,20735.47852,20965695707.0
2827,2022/6/28,20731.54492,21164.42383,20228.8125,20280.63477,21381535161.0
2828,2022/6/29,20281.16992,20364.15625,19937.79102,20104.02344,23552740328.0
2829,2022/6/30,20108.3125,20141.16016,18729.65625,19784.72656,26267239923.0
2830,2022/7/1,19820.4707,20632.67188,19073.70898,19269.36719,30767551159.0
2831,2022/7/2,19274.83594,19371.74805,19027.08203,19242.25586,18100418740.0
2832,2022/7/3,19242.0957,19558.26953,18966.95117,19297.07617,16390821947.0
2833,2022/7/4,19297.31445,20258.74805,19063.06641,20231.26172,21594638208.0
2834,2022/7/5,20225.35352,20635.4668,19341.23242,20190.11523,26715546990.0
2835,2022/7/6,20194.61914,20595.5293,19823.51172,20548.24609,24598943708.0
2836,2022/7/7,20547.81445,21771.81641,20296.10352,21637.58789,25814972520.0
2837,2022/7/8,21637.1543,22314.94141,21257.45313,21731.11719,49899834488.0
2838,2022/7/9,21716.82813,21877.13867,21445.95703,21592.20703,29641127858.0
2839,2022/7/10,21591.08008,21591.08008,20727.12305,20860.44922,28688807249.0
2840,2022/7/11,20856.35352,20856.35352,19924.53906,19970.55664,24150249025.0
2841,2022/7/12,19970.47461,20043.44531,19308.53125,19323.91406,25810220018.0
2842,2022/7/13,19325.97266,20223.05273,18999.95313,20212.07422,33042430345.0
2843,2022/7/14,20211.4668,20789.89453,19689.25781,20569.91992,31158743333.0
2844,2022/7/15,20573.15625,21138.24414,20397.0,20836.32813,25905575359.0
2845,2022/7/16,20834.10352,21514.4043,20518.89844,21190.31641,24302954056.0
2846,2022/7/17,21195.04102,21600.64063,20778.17969,20779.34375,22927802083.0
2847,2022/7/18,20781.91211,22633.0332,20781.91211,22485.68945,39974475562.0
2848,2022/7/19,22467.84961,23666.96289,21683.40625,23389.43359,48765202697.0
2849,2022/7/20,23393.19141,24196.81836,23009.94922,23231.73242,42932549127.0
2850,2022/7/21,23233.20117,23388.32227,22431.14844,23164.62891,33631012204.0
2851,2022/7/22,23163.75195,23671.92773,22603.41602,22714.97852,31421555646.0
2852,2022/7/23,22706.98438,22977.21094,22002.91016,22465.47852,24021799169.0
2853,2022/7/24,22465.50977,22974.00195,22306.83984,22609.16406,23565495303.0
2854,2022/7/25,22607.15625,22649.12109,21361.64258,21361.70117,35574561406.0
2855,2022/7/26,21361.12109,21361.12109,20776.81641,21239.75391,28624673855.0
2856,2022/7/27,21244.16992,22986.5293,21070.80664,22930.54883,31758955233.0
2857,2022/7/28,22933.64063,24110.4707,22722.26563,23843.88672,40212386158.0
2858,2022/7/29,23845.21289,24294.78711,23481.17383,23804.63281,35887249746.0
2859,2022/7/30,23796.81836,24572.58008,23580.50781,23656.20703,28148218301.0
2860,2022/7/31,23652.07031,24121.64258,23275.70313,23336.89648,23553591896.0
2861,2022/8/1,23336.71875,23464.78711,22890.79688,23314.19922,25849159141.0
2862,2022/8/2,23308.43359,23415.04102,22710.08398,22978.11719,28389250717.0
2863,2022/8/3,22981.30273,23578.65039,22747.83594,22846.50781,26288169966.0
2864,2022/8/4,22848.21484,23198.00977,22485.70117,22630.95703,25120229769.0
2865,2022/8/5,22626.83398,23422.82813,22612.17773,23289.31445,28881249043.0
2866,2022/8/6,23291.42383,23326.5625,22961.2793,22961.2793,15978259885.0
2867,2022/8/7,22963.50586,23359.00977,22894.55664,23175.89063,15886817043.0
2868,2022/8/8,23179.52734,24203.68945,23176.54688,23809.48633,28575544847.0
2869,2022/8/9,23811.48438,23898.61523,22982.0,23164.31836,23555719219.0
2870,2022/8/10,23162.89844,24127.41406,22771.51953,23947.64258,32837431722.0
2871,2022/8/11,23948.3457,24822.62891,23900.99609,23957.5293,37127036580.0
2872,2022/8/12,23957.20313,24412.56641,23657.26563,24402.81836,27265804688.0
2873,2022/8/13,24402.1875,24860.05078,24346.11523,24424.06836,22987346289.0
2874,2022/8/14,24429.05664,24974.91406,24206.25977,24319.33398,22994133555.0
2875,2022/8/15,24318.31641,25135.58984,23839.77539,24136.97266,35123501685.0
2876,2022/8/16,24126.13672,24228.41602,23733.5,23883.29102,27753685646.0
2877,2022/8/17,23881.31641,24407.05859,23243.35352,23335.99805,30931623076.0
2878,2022/8/18,23341.03906,23563.83203,23177.60156,23212.73828,23747613147.0
2879,2022/8/19,23213.3125,23213.3125,20868.84766,20877.55273,40509610260.0
2880,2022/8/20,20872.8418,21350.80664,20856.73047,21166.06055,27595671000.0
2881,2022/8/21,21160.39258,21668.8457,21103.19727,21534.12109,23102307723.0
2882,2022/8/22,21531.46289,21531.46289,20939.18359,21398.9082,31666498758.0
2883,2022/8/23,21401.04492,21646.20313,20955.13867,21528.08789,31878280659.0
2884,2022/8/24,21526.45508,21783.07617,21195.00586,21395.01953,31962253368.0
2885,2022/8/25,21395.45898,21789.63672,21362.44141,21600.9043,31028679593.0
2886,2022/8/26,21596.08594,21804.9082,20199.48242,20260.01953,42326789564.0
2887,2022/8/27,20262.48047,20340.77539,19890.52344,20041.73828,30116729776.0
2888,2022/8/28,20041.03516,20139.05469,19616.81445,19616.81445,24366810591.0
2889,2022/8/29,19615.1543,20357.46289,19600.78516,20297.99414,32637854078.0
2890,2022/8/30,20298.61133,20542.64453,19617.64063,19796.80859,34483360283.0
2891,2022/8/31,19799.58203,20420.99023,19799.58203,20049.76367,33225232872.0
2892,2022/9/1,20050.49805,20198.39063,19653.96875,20127.14063,30182031010.0
2893,2022/9/2,20126.07227,20401.56836,19814.76563,19969.77148,29123998928.0
2894,2022/9/3,19969.71875,20037.00977,19698.35547,19832.08789,23613051457.0
2895,2022/9/4,19832.4707,19999.68945,19636.81641,19986.71289,25245861652.0
2896,2022/9/5,19988.78906,20031.16016,19673.04688,19812.37109,28813460025.0
2897,2022/9/6,19817.72461,20155.26953,18800.17188,18837.66797,43403978910.0
2898,2022/9/7,18837.68359,19427.17188,18644.4668,19290.32422,35239757134.0
2899,2022/9/8,19289.94141,19417.35156,19076.71484,19329.83398,32194477850.0
2900,2022/9/9,19328.14063,21439.41016,19310.96289,21381.15234,48469528171.0
2901,2022/9/10,21376.91211,21760.27539,21168.72266,21680.53906,36913738894.0
2902,2022/9/11,21678.54297,21770.55273,21406.94531,21769.25586,34493951963.0
2903,2022/9/12,21770.14844,22439.18164,21603.89648,22370.44922,50212088965.0
2904,2022/9/13,22371.48047,22673.82031,20062.66992,20296.70703,51091116622.0
2905,2022/9/14,20184.55469,20467.20117,19793.39648,20241.08984,37872380889.0
2906,2022/9/15,20242.28906,20318.16602,19636.73438,19701.21094,36389011503.0
2907,2022/9/16,19704.00586,19870.62891,19400.07617,19772.58398,30123362273.0
2908,2022/9/17,19777.0332,20162.53125,19777.0332,20127.57617,24957448100.0
2909,2022/9/18,20127.23438,20127.23438,19387.49219,19419.50586,31254779144.0
2910,2022/9/19,19418.57227,19639.48047,18390.31836,19544.12891,40177002624.0
2911,2022/9/20,19545.5918,19602.45703,18813.45508,18890.78906,36791346508.0
2912,2022/9/21,18891.2832,19674.63086,18290.31445,18547.40039,46363793975.0
2913,2022/9/22,18534.65039,19456.91016,18415.5918,19413.55078,41135767926.0
2914,2022/9/23,19412.40039,19464.67188,18617.55273,19297.63867,38896078052.0
2915,2022/9/24,19296.99023,19310.19727,18861.97461,18937.01172,26149643168.0
2916,2022/9/25,18936.31055,19134.73242,18696.46875,18802.09766,23359966112.0
2917,2022/9/26,18803.90039,19274.87305,18721.28516,19222.67188,44148798321.0
2918,2022/9/27,19221.83984,20338.45508,18915.66797,19110.54688,58571439619.0
2919,2022/9/28,19104.62109,19688.34375,18553.29688,19426.7207,53071298734.0
2920,2022/9/29,19427.7793,19589.26563,18924.35352,19573.05078,41037843771.0
2921,2022/9/30,19573.43164,20109.84961,19265.66211,19431.78906,43975248085.0
2922,2022/10/1,19431.10547,19471.1543,19231.08203,19312.0957,18719537670.0
2923,2022/10/2,19311.84961,19370.30859,18970.62109,19044.10742,20765955327.0
2924,2022/10/3,19044.06836,19653.54297,19025.22656,19623.58008,30484729489.0
2925,2022/10/4,19623.58398,20380.34375,19523.83984,20336.84375,35887278685.0
2926,2022/10/5,20335.90039,20343.74805,19801.80078,20160.7168,33223790572.0
2927,2022/10/6,20161.03906,20408.39258,19900.08789,19955.44336,34711412966.0
2928,2022/10/7,19957.55859,20041.08594,19395.79297,19546.84961,29227315390.0
2929,2022/10/8,19546.32813,19601.69531,19299.41406,19416.56836,16437423167.0
2930,2022/10/9,19417.47852,19542.53906,19349.25977,19446.42578,16837262532.0
2931,2022/10/10,19446.41602,19515.4668,19102.97852,19141.48438,27425022774.0
2932,2022/10/11,19139.0,19241.96094,18925.60352,19051.41797,28711532910.0
2933,2022/10/12,19052.64648,19203.19922,19029.75781,19157.44531,24950173846.0
2934,2022/10/13,19156.9668,19453.32813,18319.82227,19382.9043,44219840004.0
2935,2022/10/14,19382.5332,19889.14648,19115.4082,19185.65625,38452356727.0
2936,2022/10/15,19185.4375,19212.54102,19019.25,19067.63477,16192235532.0
2937,2022/10/16,19068.91406,19389.60352,19068.91406,19268.09375,17988916650.0
2938,2022/10/17,19268.5625,19635.80273,19173.33398,19550.75781,27472552998.0
2939,2022/10/18,19550.4668,19666.99414,19144.76953,19334.41602,30580012344.0
2940,2022/10/19,19335.02734,19348.41602,19127.6875,19139.53516,22425387184.0
2941,2022/10/20,19138.08594,19315.19922,18971.45898,19053.74023,24493974420.0
2942,2022/10/21,19053.20313,19237.38477,18770.9707,19172.46875,32459287866.0
2943,2022/10/22,19172.38086,19248.06836,19132.24414,19208.18945,16104440957.0
2944,2022/10/23,19207.73438,19646.65234,19124.19727,19567.00781,22128794335.0
2945,2022/10/24,19567.76953,19589.125,19206.32422,19345.57227,30202235805.0
2946,2022/10/25,19344.96484,20348.41211,19261.44727,20095.85742,47761524910.0
2947,2022/10/26,20092.23633,20938.13477,20076.11719,20770.44141,58895950537.0
2948,2022/10/27,20772.80273,20854.04492,20255.37305,20285.83594,49625110402.0
2949,2022/10/28,20287.95703,20724.98047,20086.06836,20595.35156,43994715910.0
2950,2022/10/29,20595.10352,20988.39453,20566.48438,20818.47656,40369840645.0
2951,2022/10/30,20817.98242,20917.00586,20547.46289,20635.60352,31486345556.0
2952,2022/10/31,20633.69531,20795.32031,20287.45898,20495.77344,45668466815.0
